"Категория";"URL категории";"Товар";"Вариант";"Описание";"Цена";"URL";"Изображение";"Артикул";"Количество";"Активность";"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"Старая цена";"Рекомендуемый";"Новый";"Сортировка";"Вес";"Связанные артикулы";"Смежные категории";"Ссылка на товар";"Валюта";"Свойства";"id";
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая с/к Globe Deep Impact 6 м";;"<strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 6 м<br /><strong>Длина в сборе</strong>: 134 см<br /><strong>Количество колен</strong>: 6<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>Материал</strong>: Сткекловолокно<br /><strong>Конструкция</strong>: Телескопическая";"1280";"udochka-mahovaya-s-k-globe-deep-impact-6-m";"no-img.jpg";"CN229";"-1";"1";"Купить Удочка маховая с/к Globe Deep Impact 6 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая с/к Globe Deep Impact 6 м купить, CN229, Удочка, маховая, с/к Globe, Deep, Impact, 6 м";"Производитель: G.STONE Длина: 6 м Длина в сборе: 134 см Количество колен: 6 Тест: 10 - 30 гр Материал: Сткекловолокно Конструкция: Телескопическая";;"0";"0";"229";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Телескопическая product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=GLOBE product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";229;
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая с/к Globe Deep Impact 5 м";;"<strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 5 м<br /><strong>Длина в сборе</strong>: 123 см<br /><strong>Количество колен</strong>: 5<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>Материал</strong>: Сткекловолокно<br /><strong>Конструкция</strong>: Телескопическая";"990";"udochka-mahovaya-s-k-globe-deep-impact-5-m";"no-img.jpg";"CN228";"-1";"1";"Купить Удочка маховая с/к Globe Deep Impact 5 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая с/к Globe Deep Impact 5 м купить, CN228, Удочка, маховая, с/к Globe, Deep, Impact, 5 м";"Производитель: G.STONE Длина: 5 м Длина в сборе: 123 см Количество колен: 5 Тест: 10 - 30 гр Материал: Сткекловолокно Конструкция: Телескопическая";;"0";"0";"228";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Телескопическая product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=GLOBE product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";228;
"Удилища/Маховые";"fishing-rods/wave";"Удочка маховая с/к Globe Deep Impact 4 м";;"<strong>Производитель</strong>: G.STONE<br /><strong>Длина</strong>: 4 м<br /><strong>Длина в сборе</strong>: 112 см<br /><strong>Количество колен</strong>: 4<br /><strong>Тест</strong>: 10 - 30 гр<br /><strong>Материал</strong>: Сткекловолокно<br /><strong>Конструкция</strong>: Телескопическая";"730";"udochka-mahovaya-s-k-globe-deep-impact-4-m";"no-img.jpg";"CN227";"-1";"1";"Купить Удочка маховая с/к Globe Deep Impact 4 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка маховая с/к Globe Deep Impact 4 м купить, CN227, Удочка, маховая, с/к Globe, Deep, Impact, 4 м";"Производитель: G.STONE Длина: 4 м Длина в сборе: 112 см Количество колен: 4 Тест: 10 - 30 гр Материал: Сткекловолокно Конструкция: Телескопическая";;"0";"0";"227";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Телескопическая product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=GLOBE product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";227;
"Удилища/Болонские";"fishing-rods/bolognese";"Удочка болонская Libao Lanai с/к 6 м";;"Удочки серии Lanai от производителя Libao сделаны из композитного материала. Данные модели оснащены кольцами SIC. Материал ручки сделан из пластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 6 м<br /><strong>Длина в сборе</strong>: 124 см<br /><strong>Количество колен</strong>: 6<br /><strong>Тест</strong>: 10 - 40 гр<br /><strong>Материал</strong>: композит<br /><strong>Рукоятка</strong>: пластик<br /><strong>Конструкция</strong>: телескопическая";"670";"udochka-bolonskaya-libao-lanai-s-k-6-m";"libao-lanai-s-k-6.png[:param:][alt=Удочка болонская Libao Lanai с/к 6 м][title=Удочка болонская Libao Lanai с/к 6 м]|libao-lanai-s-k-6-b.png[:param:][alt=Удочка болонская Libao Lanai с/к 6 м рукоятка][title=Удочка болонская Libao Lanai с/к 6 м рукоятка]|libao-lanai-s-k-6-r.png[:param:][alt=Удочка болонская Libao Lanai с/к 6 м крепление][title=Удочка болонская Libao Lanai с/к 6 м крепление]";"CN221";"-1";"1";"Купить Удочка болонская Libao Lanai с/к 6 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка болонская Libao Lanai с/к 6 м купить, CN221, Удочка, болонская, Libao, Lanai, с/к 6, м";"Удочки серии Lanai от производителя Libao сделаны из композитного материала. Данные модели оснащены кольцами SIC.";;"0";"0";"221";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Телескопическая product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";221;
"Удилища/Болонские";"fishing-rods/bolognese";"Удочка болонская Libao Lanai с/к 5 м";;"Удочки серии Lanai от производителя Libao сделаны из композитного материала. Данные модели оснащены кольцами SIC. Материал ручки сделан из пластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 5 м<br /><strong>Длина в сборе</strong>: 118 см<br /><strong>Количество колен</strong>: 5<br /><strong>Тест</strong>: 10 - 40 гр<br /><strong>Материал</strong>: композит<br /><strong>Рукоятка</strong>: пластик<br /><strong>Конструкция</strong>: телескопическая";"570";"udochka-bolonskaya-libao-lanai-s-k-5-m";"libao-lanai-s-k-5.png[:param:][alt=Удочка болонская Libao Lanai с/к 5 м][title=Удочка болонская Libao Lanai с/к 5 м]|libao-lanai-s-k-5-b.png[:param:][alt=Удочка болонская Libao Lanai с/к 5 м рукоятка][title=Удочка болонская Libao Lanai с/к 5 м рукоятка]|libao-lanai-s-k-5-r.png[:param:][alt=Удочка болонская Libao Lanai с/к 5 м крепление][title=Удочка болонская Libao Lanai с/к 5 м крепление]";"CN220";"-1";"1";"Купить Удочка болонская Libao Lanai с/к 5 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка болонская Libao Lanai с/к 5 м купить, CN220, Удочка, болонская, Libao, Lanai, с/к 5, м";"Удочки серии Lanai от производителя Libao сделаны из композитного материала. Данные модели оснащены кольцами SIC.";;"0";"0";"220";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Телескопическая product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";220;
"Удилища/Болонские";"fishing-rods/bolognese";"Удочка болонская Libao Lanai с/к 4 м";;"Удочки серии Lanai от производителя Libao сделаны из композитного материала. Данные модели оснащены кольцами SIC. Материал ручки сделан из пластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 4 м<br /><strong>Длина в сборе</strong>: 112 см<br /><strong>Количество колен</strong>: 4<br /><strong>Тест</strong>: 10 - 40 гр<br /><strong>Материал</strong>: композит<br /><strong>Рукоятка</strong>: пластик<br /><strong>Конструкция</strong>: телескопическая";"470";"udochka-bolonskaya-libao-lanai-s-k-4-m";"libao-lanai-s-k-4.png|libao-lanai-s-k-4-b.png|libao-lanai-s-k-4-r.png";"CN219";"-1";"1";"Купить Удочка болонская Libao Lanai с/к 4 м у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Удочка болонская Libao Lanai с/к 4 м купить, CN219, Удочка, болонская, Libao, Lanai, с/к 4, м";"Удочки серии Lanai от производителя Libao сделаны из композитного материала. Данные модели оснащены кольцами SIC.";;"0";"0";"219";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Телескопическая product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";219;
"Удилища/Спиннинговые";"fishing-rods/spinning";"Спиннинг штекерный Libao Legend Spin M 2.7 м (7-28 гр)";;"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 7-28 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки. Ручка сделана из пробки, а сам спиннинг из углепластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 2.7 м<br /><strong>Длина в сборе</strong>: 140 см<br /><strong>Количество частей</strong>: 2 (штекерный)<br /><strong>Тест</strong>: 7-28 гр<br /><strong>Материал</strong>: углепластик<br /><strong>Рукоятка</strong>: пробка<br /><strong>Конструкция</strong>: штереная";"850";"spinning-shtekernyy-libao-legend-spin-m-2-7-m-7-28-gr";"libao-legend-m-2-7-7-28.png|libao-legend-m-2-7-7-28-b.png|libao-legend-m-2-7-7-28-r.png";"CN216";"-1";"1";"Купить Спиннинг штекерный Libao Legend Spin M 2.7 м (7-28 гр) у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Спиннинг штекерный Libao Legend Spin M 2.7 м (7-28 гр) купить, CN216, Спиннинг, штекерный, Libao, Legend, Spin, M 2.7, 7-28";"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 7-28 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки";;"0";"0";"218";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Штекерная product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";216;
"Удилища/Спиннинговые";"fishing-rods/spinning";"Спиннинг штекерный Libao Legend Spin M 2.4 м (7-28 гр)";;"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 7-28 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки. Ручка сделана из пробки, а сам спиннинг из углепластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 2.4 м<br /><strong>Длина в сборе</strong>: 125 см<br /><strong>Количество частей</strong>: 2 (штекерный)<br /><strong>Тест</strong>: 7-28 гр<br /><strong>Материал</strong>: углепластик<br /><strong>Рукоятка</strong>: пробка<br /><strong>Конструкция</strong>: штереная";"790";"spinning-shtekernyy-libao-legend-spin-m-2-4-m-7-28-gr";"libao-legend-m-2-4-7-28.png|libao-legend-m-2-4-7-28-b.png|libao-legend-m-2-4-7-28-r.png";"CN217";"-1";"1";"Купить Спиннинг штекерный Libao Legend Spin M 2.4 м (7-28 гр) у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Спиннинг штекерный Libao Legend Spin M 2.4 м (7-28 гр) купить, CN217, Спиннинг, штекерный, Libao, Legend, Spin, M 2.4, 7-28";"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 7-28 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки";;"0";"0";"217";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Штекерная product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";217;
"Удилища/Спиннинговые";"fishing-rods/spinning";"Спиннинг штекерный Libao Legend Spin M 2.1 м (7-28 гр)";;"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 7-28 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки. Ручка сделана из пробки, а сам спиннинг из углепластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 2.1 м<br /><strong>Длина в сборе</strong>: 110 см<br /><strong>Количество частей</strong>: 2 (штекерный)<br /><strong>Тест</strong>: 7-28 гр<br /><strong>Материал</strong>: карбон (углепластик)<br /><strong>Рукоятка</strong>: пробка<br /><strong>Конструкция</strong>: штереная";"750";"spinning-shtekernyy-libao-legend-spin-m-2-1-m-7-28-gr";"libao-legend-m-2-1-7-28.png|libao-legend-m-2-1-7-28-b.png|libao-legend-m-2-1-7-28-r.png";"CN218";"-1";"1";"Купить Спиннинг штекерный Libao Legend Spin M 2.1 м (7-28 гр) у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Спиннинг штекерный Libao Legend Spin M 2.1 м (7-28 гр) купить, CN218, Спиннинг, штекерный, Libao, Legend, Spin, M 2.1, 7-28";"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 7-28 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки";;"0";"0";"216";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Штекерная product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";218;
"Удилища/Спиннинговые";"fishing-rods/spinning";"Спиннинг штекерный Libao Legend Spin L 2.7 м (3-15 гр)";;"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 3-15 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки. Ручка сделана из пробки, а сам спиннинг из углепластика.<br /><br /><strong>Производитель</strong>: Libao<br /><strong>Длина</strong>: 2.7 м<br /><strong>Длина в сборе</strong>: 140 см<br /><strong>Количество частей</strong>: 2 (штекерный)<br /><strong>Тест</strong>: 3-15 гр<br /><strong>Материал</strong>: углепластик<br /><strong>Рукоятка</strong>: пробка<br /><strong>Конструкция</strong>: штереная";"850";"spinning-shtekernyy-libao-legend-spin-l-2-7-m-3-15-gr";"libao-legeng-spin-ml-2-7-3-15gr.png|libao-legeng-spin-ml-2-7-3-15gr-b.png|libao-legeng-spin-ml-2-7-3-15gr-r.png";"CN215";"-1";"1";"Купить Спиннинг штекерный Libao Legend Spin L 2.7 м (3-15 гр) у нас в интернет-магазине YURAN по низкой цене и доставкой в любые регионы";"Спиннинг штекерный Libao Legend Spin L 2.7 м (3-15 гр) купить, CN215, Спиннинг, штекерный, Libao, Legend, Spin, L 2.7, 3-15";"Спиннинговое удилище штекерного типа отлично подойдет для рыбалки. Удочка имеет сердний строй и тест 3-15 граммов. Состоит из двуй частей: первая - основная, вторая идет в качестве виршинки";;"0";"0";"215";0;"";;;RUR;"Конструкция=[type=assortmentCheckBox value=Штекерная product_margin=Штекерная|Телескопическая]&Бренд=[type=assortmentCheckBox value=LIBAO product_margin=LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]";215;
