"Категория";"URL категории";"Товар";"Вариант";"Описание";"Цена";"URL";"Изображение";"Артикул";"Количество";"Активность";"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"Старая цена";"Рекомендуемый";"Новый";"Сортировка";"Вес";"Связанные артикулы";"Смежные категории";"Ссылка на товар";"Валюта";"Свойства";"id";
"Аксессуары для рыбалки/Поплавки";"aksessuary-dlya-rybalki/poplavki";"Поплавки бальсовые Stream 002-001 10 штук";;"<h2>	Описание</h2>Бальсовые поплавки, 10 штук в упаковке<h2>	Характеристики</h2><strong>Производитель</strong>: STREAM<br /><strong>Вес одного поплавка</strong>: 1 грамм";"350";"poplavki-balsovye-stream-002-001-10-shtuk";"IMG_2856.JPG|IMG_2857.JPG";"CN378";"-1";"1";"Купить Поплавки бальсовые Stream 002-001 10 штук в интернет-магазине YURAN";"Поплавки бальсовые Stream 002-001 10 штук купить, CN378, Поплавки, бальсовые, Stream, 002-001, 10 штук";"Описание Бальсовые поплавки Характеристики Производитель: STREAM Вес одного поплавка: 1 грамм";;"0";"0";"378";0;"";;;RUR;"";378;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Feeder Dynamic";;"<h2>	Описание</h2><strong>Прикормка Traper Серия Feeder</strong><br /><strong>Популярная среди поклонников донного ужения серия, включающая 4 типа прикормочной смеси – «Лещ», «Карп», «Турбо» и «Динамик». В данной линейке рыболовы могут в значительной степени форматировать свойства смеси в зависимости от объема вносимой в нее воды.</strong>&nbsp;Подсерия «Карп» имеет темно-желтый окрас, содержит стойкие ароматизаторы с добавкой крупно фракционного «пасточино». Вариант «Лещ» создан в классическом глинистом оттенке, адаптирован ко всем типам водоемов, сохраняет стабильную эффективность при широких температурных показателях водного объекта. Включает в себя ароматику «длительного» действия и большой объем бисквитной крошки, результативность данной смеси может быть повышена внесением добавки «Traper Melasa». Серия «Динамик» - универсальна как по видовой линейке объектов ловли, так и по сезону ловли. Создана с акцентом применения на течении, допускает внесение широкого спектра аттрактантов. Фидерная серия «Traper Turbo» - в большей мере специализированная прикормка, рассчитанная на ловлю карпа, линя и карася на прудах в теплое время года. Состав растительных компонентов в данном случае сбалансирован со средне фракционной бисквитной крошкой и включает в себя ряд сладких ароматизаторов. Версия упаковки в 2,5 кг позволяет получить отличное качество смеси за минимальную цену.";"125";"prikormka-traper-feeder-dynamic";"IMG_2921.JPG";"CN377";"-1";"1";"Купить Прикормка TRAPER Feeder Dynamic в интернет-магазине YURAN";"Прикормка TRAPER Feeder Dynamic купить, CN377, Прикормка, TRAPER, Feeder, Dynamic";"Прикормка Traper Серия Feeder. Популярная среди поклонников донного ужения серия, включающая 4 типа прикормочной смеси – «Лещ», «Карп», «Турбо» и «Динамик». В данной линейке рыболовы могут в значительной степени форматировать свойства смеси в зависимости от объема вносимой в нее воды. ";;"0";"1";"377";0;"";;;RUR;"Серия=[type=assortmentCheckBox value=FEEDER product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";377;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Bream Лещ Turbo";;"<h2>	Описание</h2><p>	Серия&nbsp;<b>прикормок Traper&nbsp;</b>Bream является одной из недавних разработок компании. Линейка, выпущенная в 2013 году, состоит из трех уникальных смесей: Belge, Dynamic и Turbo. Все продукты серии ориентированы на ловлю леща. Основная часть каждой смеси – измельченные ингредиенты, присутствуют и более крупные вкрапления. В состав прикормок входит желтое печиво, но они различаются по цвету. Кроме того, разница между продуктами заключается во вкусо-ароматических добавках.</p>";"125";"prikormka-traper-bream-lesch-turbo";"IMG_2919.JPG";"CN376";"-1";"1";"Купить Прикормка TRAPER Bream Лещ Turbo в интернет-магазине YURAN";"Прикормка TRAPER Bream Лещ Turbo купить, CN376, Прикормка, TRAPER, Bream, Лещ Turbo";"Описание Серияприкормок Traper Bream является одной из недавних разработок компании. Линейка, выпущенная в 2013 году, состоит из трех уникальных смесей: Belge, Dynamic и Turbo";;"0";"1";"376";0;"";;;RUR;"Серия=[type=assortmentCheckBox value=BREAM product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";376;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Big Carp Натуральный";;"<h2>	Описание</h2><p>	<b>Прикормка Трапер&nbsp;</b>Серия Big Carp относится к крупнофракционным питательным смесям, которые были разработаны для селективной ловли крупой рыбы семейства карповых. Также данная прикормка успешно применяется и для ловли прочих не хищных обитателей рек и озер. Смеси данной линейки выпускаются в упаковках по 1 и 2,5 кг.</p><p>	Основным ингредиентом&nbsp;<b>прикормки Трапер серии Большой Карп</b>&nbsp;является бисквит, приготовленный по рецепту фирмы, ароматические вещества добавлены в тесто до выпечки, благодаря чему каждая частичка выпечки пропитана запахом и привлекает рыбу. Также в состав входят крупно молотые зерновые, орехи, семена.</p>";"145";"prikormka-traper-big-carp-naturalnyy";"data-traper-groundbait-big-carp-1kg-25kg-groundbait-big-carp-1kg-25kg-00092-500x500.png";"CN375";"-1";"1";"Купить Прикормка TRAPER Big Carp Натуральный в интернет-магазине YURAN";"Прикормка TRAPER Big Carp Натуральный купить, CN375, Прикормка, TRAPER, Big Carp, Натуральный";"Описание Прикормка Трапер Серия Big Carp относится к крупнофракционным питательным смесям, которые были разработаны для селективной ловли крупой рыбы семейства карповых";;"0";"1";"375";0;"";;;RUR;"Серия=[type=assortmentCheckBox value=BIG CARP product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";375;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Popular Универсальная";;"<h2>	Описание</h2>Прикормки&nbsp;<b>Traper</b>&nbsp;Popular – наиболее популярная серия продуктов фирмы. В линейку включены продукты, ориентированные на ловлю определенных видов рыб: карпа, карася, линя и других; смеси для фидерной рыбалки, для ловли на реках, а также универсальные прикормки.";"97";"prikormka-traper-popular-universalnaya";"IMG_2918.JPG";"CN374";"-1";"1";"Купить Прикормка TRAPER Popular Универсальная в интернет-магазине YURAN";"Прикормка TRAPER Popular Универсальная купить, CN374, Прикормка, TRAPER, Popular, Универсальная";"Прикормки Traper Popular – наиболее популярная серия продуктов фирмы. В линейку включены продукты, ориентированные на ловлю определенных видов рыб: карпа, карася, линя и других; смеси для фидерной рыбалки, для ловли на реках, а также универсальные прикормки";;"0";"1";"374";0;"";;;RUR;"Серия=[type=assortmentCheckBox value=POPULAR product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";374;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Big Carp Слива";;"<h2>	Описание</h2><p>	<b>Прикормка Трапер&nbsp;</b>Серия Big Carp относится к крупнофракционным питательным смесям, которые были разработаны для селективной ловли крупой рыбы семейства карповых. Также данная прикормка успешно применяется и для ловли прочих не хищных обитателей рек и озер. Смеси данной линейки выпускаются в упаковках по 1 и 2,5 кг.</p><p>	Основным ингредиентом&nbsp;<b>прикормки Трапер серии Большой Карп</b>&nbsp;является бисквит, приготовленный по рецепту фирмы, ароматические вещества добавлены в тесто до выпечки, благодаря чему каждая частичка выпечки пропитана запахом и привлекает рыбу. Также в состав входят крупно молотые зерновые, орехи, семена.</p>";"145";"prikormka-traper-big-carp-sliva";"IMG_2916.JPG";"CN373";"-1";"1";"Купить Прикормка TRAPER Big Carp Слива в интернет-магазине YURAN";"Прикормка TRAPER Big Carp Слива купить, CN373, Прикормка, TRAPER, Big Carp, Слива";"Прикормка ТраперСерия Big Carp относится к крупнофракционным питательным смесям, которые были разработаны для селективной ловли крупой рыбы семейства карповых";;"1";"1";"373";1;"";;;RUR;"Серия=[type=assortmentCheckBox value=BIG CARP product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";373;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Special Karp";;"<h2>	Описание</h2>Прикормка&nbsp;<strong>Traper Серия Special</strong>. Одна из наиболее широких серий прикормок фирмы&nbsp;<strong>Traper</strong>, включающая как исключительно специализированные варианты применения, так и демисезонные.&nbsp;<b>Главной особенностью линейки является принцип селекции, что в рыбалке выражается как возможность ловли необходимого Вам вида рыбы. Здесь, по сути, учтены все основные методы и объекты внимания рыболова – в серии имеются речные и фидерные смеси, карповые, лещовые, варианты для успешной ловли карася и линя, плотвы – в различном сочетании цвета кормового пятна, размера составляющих частиц&nbsp; и вносимых в прикормку ароматизаторов.</b>&nbsp;Кормосмеси весьма самодостаточные, каждый вариант содержит несколько ключевых добавок, выпускаемых поляками. Оптимальная консистенция данной серии достигается при внесении 400-450 мл воды и настаивания в течении 10 минут после интенсивного перемешивания. Упаковка с содержимым в 2,5 кг является одной из наиболее выгодных позиций, позволяющая приобрести прикормку высокого европейского образца по самой выгодной цене.";"125";"prikormka-traper-special-karp";"IMG_2917.JPG";"CN372";"-1";"1";"Купить Прикормка TRAPER Special Karp в интернет-магазине YURAN";"Прикормка TRAPER Special Karp купить, CN372, Прикормка, TRAPER, Special, Karp";"Прикормка Traper Серия Special. Одна из наиболее широких серий прикормок фирмы Traper, включающая как исключительно специализированные варианты применения, так и демисезонные. Главной особенностью линейки является принцип селекции, что в рыбалке выражается как возможность ловли необходимого Вам вида рыбы. ";;"1";"1";"372";1;"";;;RUR;"Серия=[type=assortmentCheckBox value=SPECIAL product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";372;
"Прикормка/Прикормка Traper";"prikormka/prikormka-traper";"Прикормка TRAPER Secret Feeder red (Фидер красный)";;"<h2>	Описание</h2>Отлично сочетается с другими прикормками, добавками, грунтами и глинами. Эта серия предназначена для ловли в условиях прессинга со стороны других рыболовов, а так же для ловли осторожной рыбы в сложных условиях. Разные цвета прикормки позволяют, подстроится под любые, даже очень сложные условия ловли. В состав прикормок этой серии входит большое количество разнообразных, специально приготовленных, в том числе и обжаренных, компонентов.";"140";"prikormka-traper-secret-feeder-red-fider-krasnyy";"IMG_2915.JPG";"CN371";"-1";"1";"Купить Прикормка TRAPER Secret Feeder red (Фидер красный) в интернет-магазине YURAN";"Прикормка TRAPER Secret Feeder red (Фидер красный) купить, CN371, Прикормка, TRAPER, Secret, Feeder, red (Фидер, красный)";"Отлично сочетается с другими прикормками, добавками, грунтами и глинами. Эта серия предназначена для ловли в условиях прессинга со стороны других рыболовов, а так же для ловли осторожной рыбы в сложных условиях";;"1";"1";"371";1;"";;;RUR;"Серия=[type=assortmentCheckBox value=SECRET#0# product_margin=FEEDER|BREAM|POPULAR|BIG CARP|SECRET|SPECIAL]&Бренд=[type=assortmentCheckBox value=TRAPER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";371;
"Крючки/Одинарные крючки";"kryuchki/odinarnye-kryuchki";"Крючки одинарные OWNER 50152 AMANO TENKARA with EYE №14";;"<h2>	Характеристики</h2><strong>Производитель</strong>: OWNER (Япония)<br /><strong>Количество в упаковке</strong>: 13 штук<br /><strong>Конструкция</strong>: Одинарные";"70";"kryuchki-odinarnye-owner-50152-amano-tenkara-with-eye-14";"IMG_2759.JPG";"CN370";"-1";"1";"Купить Крючки одинарные OWNER 50152 AMANO TENKARA with EYE №14 в интернет-магазине YURAN";"Крючки одинарные OWNER 50152 AMANO TENKARA with EYE №14 купить, CN370, Крючки, одинарные, OWNER, 50152, AMANO, TENKARA, with, EYE №14";"Производитель: OWNER (Япония) Количество в упаковке: 13 штук Конструкция: Одинарные";;"0";"0";"370";0;"";;;RUR;"Диаметр=0.435&Модель=[type=assortmentCheckBox value=AMANO TENKARA with EYE product_margin=RYUSEN-BH|TENKARA LONG-D|ISEAMA X with ring|ISEAMA X with EYE|STRAW HOOK|SPRING CCN with EYE|PINT HOOK|PIN HOOK|PENNY HOOK|TENKARA-D with ring|TENKARA-D with EYE|TENKARA-S with ring|TENKARA-S with EYE|CHINU with EYE|ISEAMA with EYE|AMANO TENKARA with EYE]&Бренд=[type=assortmentCheckBox value=OWNER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";370;
"Крючки/Одинарные крючки";"kryuchki/odinarnye-kryuchki";"Крючки одинарные OWNER 50152 AMANO TENKARA with EYE №12";;"<h2>	Характеристики</h2><strong>Производитель</strong>: OWNER (Япония)<br /><strong>Количество в упаковке</strong>: 13 штук<br /><strong>Конструкция</strong>: Одинарные";"70";"kryuchki-odinarnye-owner-50152-amano-tenkara-with-eye-12";"IMG_2758.JPG";"CN369";"-1";"1";"Купить Крючки одинарные OWNER 50152 AMANO TENKARA with EYE №12 в интернет-магазине YURAN";"Крючки одинарные OWNER 50152 AMANO TENKARA with EYE №12 купить, CN369, Крючки, одинарные, OWNER, 50152, AMANO, TENKARA, with, EYE №12";"Производитель: OWNER (Япония) Количество в упаковке: 13 штук Конструкция: Одинарные";;"0";"0";"369";0;"";;;RUR;"Диаметр=0.46&Модель=[type=assortmentCheckBox value=AMANO TENKARA with EYE product_margin=RYUSEN-BH|TENKARA LONG-D|ISEAMA X with ring|ISEAMA X with EYE|STRAW HOOK|SPRING CCN with EYE|PINT HOOK|PIN HOOK|PENNY HOOK|TENKARA-D with ring|TENKARA-D with EYE|TENKARA-S with ring|TENKARA-S with EYE|CHINU with EYE|ISEAMA with EYE|AMANO TENKARA with EYE]&Бренд=[type=assortmentCheckBox value=OWNER product_margin=TRAPER|ЛОТОС|XING SHENG|OWNER|BERKLEY|LIGHT SPOT|VIVA|RYOBI|COBRA|TEBEN|CONCEPT|CROCODILE|OKUMA|LINE WINDER|TRABUCCO|MIKADO|G-STONE|GLOBE|LIBAO]&Теги=";369;
